Board,EventN,TrigTime,ADC
 1 , 82 , 284603420 , 2160.000000
 2 , 82 , 283197898 , 2102.000000
 3 , 82 , 281792176 , 2050.000000
 4 , 82 , 280385748 , 2077.000000
 5 , 83 , 281909468 , 1915.000000
 0 , 83 , 288940350 , 1921.000000
 1 , 83 , 287533090 , 2107.000000
 2 , 83 , 286127570 , 2102.000000
 3 , 83 , 284721846 , 1972.000000
 4 , 83 , 283315418 , 2039.000000
 5 , 84 , 284839140 , 1782.000000
 0 , 84 , 291870016 , 1903.000000
 1 , 84 , 290462760 , 2098.000000
 2 , 84 , 289057240 , 2107.000000
 3 , 84 , 287651516 , 1874.000000
 4 , 84 , 286245086 , 2071.000000
 5 , 85 , 287768810 , 1698.000000
 0 , 85 , 294799680 , 1733.000000
 1 , 85 , 293392428 , 2067.000000
 2 , 85 , 291986910 , 2074.000000
 3 , 85 , 290581184 , 1718.000000
 4 , 85 , 289174754 , 2039.000000
 0 , 86 , 297729346 , 1792.000000
 1 , 86 , 296322098 , 2112.000000
 2 , 86 , 294916582 , 2031.000000
 3 , 86 , 293510854 , 1857.000000
 4 , 86 , 292104422 , 2073.000000
 5 , 86 , 290698482 , 1807.000000
 0 , 87 , 300659012 , 2060.000000
 1 , 87 , 299251768 , 2180.000000
 2 , 87 , 297846254 , 2079.000000
 3 , 87 , 296440524 , 1978.000000
 4 , 87 , 295034092 , 2107.000000
 5 , 87 , 293628154 , 1927.000000
 0 , 88 , 303588678 , 2084.000000
 1 , 88 , 302181438 , 2077.000000
 2 , 88 , 300775926 , 2072.000000
 3 , 88 , 299370194 , 2111.000000
 4 , 88 , 297963760 , 2020.000000
 5 , 88 , 296557826 , 2082.000000
 0 , 89 , 306518342 , 2160.000000
 1 , 89 , 305111106 , 2162.000000
 2 , 89 , 303705594 , 2091.000000
 3 , 89 , 302299862 , 2200.000000
 4 , 89 , 300893428 , 2105.000000
 5 , 89 , 299487496 , 2146.000000
 1 , 90 , 308040776 , 2084.000000
 2 , 90 , 306635266 , 2100.000000
 3 , 90 , 305229532 , 2315.000000
 4 , 90 , 303823098 , 2040.000000
 5 , 90 , 302417168 , 2269.000000
 0 , 90 , 309448008 , 2337.000000
 1 , 91 , 310970446 , 2086.000000
 2 , 91 , 309564938 , 2103.000000
 3 , 91 , 308159202 , 2188.000000
 4 , 91 , 306752766 , 2078.000000
 5 , 91 , 305346842 , 2175.000000
 0 , 91 , 312377674 , 2189.000000
 1 , 92 , 313900114 , 2106.000000
 2 , 92 , 312494608 , 2108.000000
 3 , 92 , 311088870 , 2053.000000
 4 , 92 , 309682434 , 2043.000000
 5 , 92 , 308276512 , 1987.000000
 0 , 92 , 315307338 , 2145.000000
 1 , 93 , 316829784 , 2098.000000
 2 , 93 , 315424280 , 2098.000000
 3 , 93 , 314018540 , 1970.000000
 4 , 93 , 312612102 , 2077.000000
 5 , 93 , 311206184 , 1887.000000
 0 , 93 , 318237004 , 1893.000000
 2 , 94 , 318353952 , 2014.000000
 3 , 94 , 316948210 , 1787.000000
 4 , 94 , 315541772 , 2044.000000
 5 , 94 , 314135856 , 1796.000000
 0 , 94 , 321166670 , 1739.000000
 1 , 94 , 319759454 , 2064.000000
 2 , 95 , 321283622 , 2082.000000
 3 , 95 , 319877880 , 1733.000000
 4 , 95 , 318471440 , 2034.000000
 5 , 95 , 317065528 , 1634.000000
 0 , 95 , 324096336 , 1729.000000
 1 , 95 , 322689124 , 2083.000000
 2 , 96 , 324213292 , 2088.000000
 3 , 96 , 322807548 , 1852.000000
 4 , 96 , 321401108 , 2043.000000
 5 , 96 , 319995198 , 1823.000000
 0 , 96 , 327026000 , 1879.000000
 1 , 96 , 325618792 , 2181.000000
 1 , 97 , 328548462 , 2079.000000
 2 , 97 , 327142964 , 2064.000000
 3 , 97 , 325737218 , 1985.000000
 4 , 97 , 324330776 , 2034.000000
 5 , 97 , 322924870 , 2008.000000
 0 , 97 , 329955666 , 2049.000000
 0 , 98 , 332885332 , 2058.000000
 1 , 98 , 331478132 , 2159.000000
 2 , 98 , 330072636 , 2111.000000
 3 , 98 , 328666888 , 2089.000000
 4 , 98 , 327260446 , 2012.000000
 5 , 98 , 325854542 , 2046.000000
 0 , 99 , 335814996 , 2242.000000
 1 , 99 , 334407800 , 2084.000000
 2 , 99 , 333002306 , 2023.000000
 3 , 99 , 331596556 , 2219.000000
 4 , 99 , 330190112 , 2106.000000
 5 , 99 , 328784212 , 2237.000000
 0 , 100 , 338744662 , 2345.000000
 1 , 100 , 337337470 , 2089.000000
 2 , 100 , 335931976 , 2109.000000
 3 , 100 , 334526226 , 2316.000000
 4 , 100 , 333119782 , 2010.000000
 5 , 100 , 331713884 , 2300.000000
 0 , 101 , 341674328 , 2227.000000
 1 , 101 , 340267140 , 2065.000000
 2 , 101 , 338861648 , 2096.000000
 3 , 101 , 337455896 , 2196.000000
 4 , 101 , 336049450 , 2078.000000
 5 , 101 , 334643556 , 2162.000000
 1 , 102 , 343196810 , 2112.000000
 2 , 102 , 341791320 , 2011.000000
 3 , 102 , 340385566 , 2082.000000
 4 , 102 , 338979120 , 2056.000000
 5 , 102 , 337573230 , 2042.000000
 0 , 102 , 344603994 , 2143.000000
 1 , 103 , 346126478 , 2090.000000
 2 , 103 , 344720990 , 2080.000000
 3 , 103 , 343315234 , 1916.000000
 4 , 103 , 341908786 , 2078.000000
 5 , 103 , 340502900 , 1914.000000
 0 , 103 , 347533658 , 1995.000000
 1 , 104 , 349056148 , 2086.000000
 2 , 104 , 347650662 , 2075.000000
 3 , 104 , 346244904 , 1828.000000
 4 , 104 , 344838456 , 2056.000000
 5 , 104 , 343432572 , 1781.000000
 0 , 104 , 350463324 , 1822.000000
 1 , 105 , 351985818 , 2163.000000
 2 , 105 , 350580334 , 2028.000000
 3 , 105 , 349174574 , 1681.000000
 4 , 105 , 347768124 , 2080.000000
 5 , 105 , 346362244 , 1762.000000
 0 , 105 , 353392990 , 1733.000000
 2 , 106 , 353510002 , 2103.000000
 3 , 106 , 352104242 , 1855.000000
 4 , 106 , 350697792 , 2054.000000
 5 , 106 , 349291914 , 1807.000000
 0 , 106 , 356322654 , 1825.000000
 1 , 106 , 354915486 , 2078.000000
 2 , 107 , 356439674 , 2102.000000
 3 , 107 , 355033912 , 1958.000000
 4 , 107 , 353627460 , 2077.000000
 5 , 107 , 352221586 , 1913.000000
 0 , 107 , 359252320 , 1993.000000
 1 , 107 , 357845156 , 2159.000000
 2 , 108 , 359369346 , 2091.000000
 3 , 108 , 357963582 , 2090.000000
 4 , 108 , 356557130 , 2038.000000
 5 , 108 , 355151258 , 2089.000000
 0 , 108 , 362181986 , 2159.000000
 1 , 108 , 360774826 , 2104.000000
 2 , 109 , 362299018 , 2104.000000
 3 , 109 , 360893252 , 2295.000000
 4 , 109 , 359486798 , 2071.000000
 5 , 109 , 358080930 , 2186.000000
 0 , 109 , 365111652 , 2240.000000
 1 , 109 , 363704496 , 2098.000000
 3 , 110 , 363822920 , 2320.000000
 4 , 110 , 362416466 , 2040.000000
 5 , 110 , 361010600 , 2271.000000
 0 , 110 , 368041316 , 2409.000000
